日付,地点名,観測地点名,県,緯度,経度,気温_平均,気温_最高,気温_最低,風速_最大,風向,降水量,天気コード,天気,水温,最大波高,波向,波周期,潮汐,月齢,月相
2022-01-01,室戸,室戸,高知県,33.29,134.18,1.8,2.3,1.5,6.4,NNW,0,3,曇り,,0.7,W,5.3,中潮,27.6,二十六夜
2022-01-01,高知,高知,高知県,33.56,133.54,1,1.9,0.5,8.4,WSW,0,2,一部曇り,,0.3,W,6,中潮,27.6,二十六夜
2022-01-01,足摺,足摺,高知県,32.72,132.72,3.6,3.8,3.3,13,N,0,3,曇り,,1.3,NW,4.9,中潮,27.6,二十六夜
2022-01-01,宇和島,宇和島,愛媛県,33.22,132.56,2.9,3,2.8,12.5,NNW,0,1,晴れ,,0.6,NW,4,中潮,27.6,二十六夜
2022-01-01,松山,松山,愛媛県,33.84,132.77,3.8,4.1,3.5,10.7,NNW,0,1,晴れ,,0.4,WNW,2.9,中潮,27.6,二十六夜
2022-01-01,来島,来島,愛媛県,34.12,132.99,4.2,4.5,4,16,NW,0,3,曇り,,0.3,W,2.5,中潮,27.6,二十六夜
2022-01-01,高松,高松,香川県,34.35,134.05,2.9,3,2.8,17.1,W,0,2,一部曇り,,0.4,W,2.7,中潮,27.6,二十六夜
2022-01-01,阿南,阿南,徳島県,33.92,134.66,2.7,3.1,2.5,23.6,NW,0,2,一部曇り,,0.9,NW,3.6,中潮,27.6,二十六夜
2022-01-02,室戸,室戸,高知県,33.29,134.18,4.3,4.7,3.9,9.2,N,0,3,曇り,,0.4,E,9.9,大潮,28.6,晦日
2022-01-02,高知,高知,高知県,33.56,133.54,1.3,2.6,0.3,4,N,0,3,曇り,,0.2,SE,11.3,大潮,28.6,晦日
2022-01-02,足摺,足摺,高知県,32.72,132.72,4.7,5.3,4,7.8,NNE,0,3,曇り,,0.3,ESE,11.2,大潮,28.6,晦日
2022-01-02,宇和島,宇和島,愛媛県,33.22,132.56,2,2.4,1.7,6.6,E,0,2,一部曇り,,0.1,W,3.8,大潮,28.6,晦日
